s1_id,t_id,s1_name,s1_addr,t_name,t_addr,country
S1-966090085,S3-886973297,,,,,US
S1-596393912,S2-354088826,,,,,India
S1-738049812,S2-922955194,,,,,India
S1-313641374,S3-218134079,,,,,India
S1-568251570,S2-840572629,,,,,US
S1-842793758,S3-704800260,,,,,US
S1-938356549,S2-682512031,,,,,US
S1-869916208,S2-49623733,,,,,US
S1-734994720,S2-266432386,,,,,India
S1-447977778,S3-911027815,,,,,US
S1-988690890,S3-306549971,,,,,India
S1-647568108,S2-831878057,,,,,India
S1-924713204,S2-137378338,,,,,India
S1-846179028,S3-434979580,,,,,India
S1-260240022,S2-234757197,,,,,US
S1-990543645,S2-715853506,,,,,US
S1-615704124,S3-276074836,,,,,US
S1-108767892,S2-800598938,,,,,India
S1-784526719,S3-620746251,,,,,US
S1-366297491,S3-873142482,,,,,US
S1-795708956,S3-414351055,,,,,US
S1-56356710,S3-420995652,,,,,India
S1-902553151,S2-822376023,,,,,US
S1-216876654,S2-852321534,,,,,US
S1-896193238,S2-655051225,,,,,India
S1-83370486,S3-34406809,,,,,US
S1-946190839,S2-601682832,,,,,US
S1-115667215,S2-34138207,,,,,US
S1-395795528,S3-749861263,,,,,US
S1-985115672,S3-575903630,,,,,US
S1-394050021,S3-465757906,,,,,India
S1-404949566,S3-440624980,,,,,US
S1-211914696,S3-679352003,,,,,India
S1-411952987,S3-971660480,,,,,US
S1-867789414,S2-794226713,,,,,US
S1-410438429,S3-520649887,,,,,US
S1-80668055,S2-890814558,,,,,India
S1-260203104,S2-385327689,,,,,India
S1-764172184,S3-379133197,,,,,US
S1-195632378,S3-47415234,,,,,US
S1-551080201,S3-706233515,,,,,India
S1-915273161,S3-962123831,,,,,India
S1-851742075,S3-5894176,,,,,India
S1-916134082,S3-750155078,,,,,US
S1-22689851,S2-736678077,,,,,US
S1-727313472,S2-126993849,,,,,US
S1-629340170,S2-121720181,,,,,India
S1-149682860,S3-911117740,,,,,India
S1-386592794,S3-628858388,,,,,India
S1-61276517,S3-369908090,,,,,India
